date,voteno,bill,vote,mpid,first_name,surname,party,url
2013-02-06,157,Opposition Day - [16th Allotted Day: First Part] - Suicide Prevention - Provision of Information by the Council,absent,40289,Diane,Abbott,Lab,http://publicwhip.com/mp.php?mpid=40289
2013-02-06,157,Opposition Day - [16th Allotted Day: First Part] - Suicide Prevention - Provision of Information by the Council,absent,40684,Debbie,Abrahams,Lab,http://publicwhip.com/mp.php?mpid=40684
2013-02-06,157,Opposition Day - [16th Allotted Day: First Part] - Suicide Prevention - Provision of Information by the Council,absent,40523,Nigel,Adams,Con,http://publicwhip.com/mp.php?mpid=40523
2013-02-06,157,Opposition Day - [16th Allotted Day: First Part] - Suicide Prevention - Provision of Information by the Council,absent,40661,Adam,Afriyie,Con,http://publicwhip.com/mp.php?mpid=40661
2013-02-06,157,Opposition Day - [16th Allotted Day: First Part] - Suicide Prevention - Provision of Information by the Council,absent,40185,Bob,Ainsworth,Lab,http://publicwhip.com/mp.php?mpid=40185
2013-02-06,157,Opposition Day - [16th Allotted Day: First Part] - Suicide Prevention - Provision of Information by the Council,no,40638,Peter,Aldous,Con,http://publicwhip.com/mp.php?mpid=40638
2013-02-06,157,Opposition Day - [16th Allotted Day: First Part] - Suicide Prevention - Provision of Information by the Council,absent,40331,Danny,Alexander,LDem,http://publicwhip.com/mp.php?mpid=40331
2013-02-06,157,Opposition Day - [16th Allotted Day: First Part] - Suicide Prevention - Provision of Information by the Council,absent,40474,Douglas,Alexander,Lab,http://publicwhip.com/mp.php?mpid=40474
2013-02-06,157,Opposition Day - [16th Allotted Day: First Part] - Suicide Prevention - Provision of Information by the Council,absent,40363,Heidi,Alexander,Lab,http://publicwhip.com/mp.php?mpid=40363
2013-02-06,157,Opposition Day - [16th Allotted Day: First Part] - Suicide Prevention - Provision of Information by the Council,absent,40075,Rushanara,Ali,Lab,http://publicwhip.com/mp.php?mpid=40075
2013-02-06,157,Opposition Day - [16th Allotted Day: First Part] - Suicide Prevention - Provision of Information by the Council,no,40461,Graham,Allen,Lab,http://publicwhip.com/mp.php?mpid=40461
2013-02-06,157,Opposition Day - [16th Allotted Day: First Part] - Suicide Prevention - Provision of Information by the Council,absent,40565,David,Amess,Con,http://publicwhip.com/mp.php?mpid=40565
2013-02-06,157,Opposition Day - [16th Allotted Day: First Part] - Suicide Prevention - Provision of Information by the Council,absent,40095,David,Anderson,Lab,http://publicwhip.com/mp.php?mpid=40095
2013-02-06,157,Opposition Day - [16th Allotted Day: First Part] - Suicide Prevention - Provision of Information by the Council,tellno,40489,Stuart,Andrew,Con,http://publicwhip.com/mp.php?mpid=40489
2013-02-06,157,Opposition Day - [16th Allotted Day: First Part] - Suicide Prevention - Provision of Information by the Council,absent,40439,James,Arbuthnot,Con,http://publicwhip.com/mp.php?mpid=40439
2013-02-06,157,Opposition Day - [16th Allotted Day: First Part] - Suicide Prevention - Provision of Information by the Council,no,40686,Jonathan,Ashworth,Lab,http://publicwhip.com/mp.php?mpid=40686
2013-02-06,157,Opposition Day - [16th Allotted Day: First Part] - Suicide Prevention - Provision of Information by the Council,absent,40210,Ian,Austin,Lab,http://publicwhip.com/mp.php?mpid=40210
2013-02-06,157,Opposition Day - [16th Allotted Day: First Part] - Suicide Prevention - Provision of Information by the Council,absent,40549,Richard,Bacon,Con,http://publicwhip.com/mp.php?mpid=40549
2013-02-06,157,Opposition Day - [16th Allotted Day: First Part] - Suicide Prevention - Provision of Information by the Council,absent,40647,Adrian,Bailey,Lab,http://publicwhip.com/mp.php?mpid=40647
2013-02-06,157,Opposition Day - [16th Allotted Day: First Part] - Suicide Prevention - Provision of Information by the Council,no,40274,William,Bain,Lab,http://publicwhip.com/mp.php?mpid=40274
2013-02-06,157,Opposition Day - [16th Allotted Day: First Part] - Suicide Prevention - Provision of Information by the Council,absent,40362,Norman,Baker,LDem,http://publicwhip.com/mp.php?mpid=40362
2013-02-06,157,Opposition Day - [16th Allotted Day: First Part] - Suicide Prevention - Provision of Information by the Council,absent,40676,Steven,Baker,Con,http://publicwhip.com/mp.php?mpid=40676
2013-02-06,157,Opposition Day - [16th Allotted Day: First Part] - Suicide Prevention - Provision of Information by the Council,absent,40053,Tony,Baldry,Con,http://publicwhip.com/mp.php?mpid=40053
2013-02-06,157,Opposition Day - [16th Allotted Day: First Part] - Suicide Prevention - Provision of Information by the Council,no,40654,Harriett,Baldwin,Con,http://publicwhip.com/mp.php?mpid=40654
2013-02-06,157,Opposition Day - [16th Allotted Day: First Part] - Suicide Prevention - Provision of Information by the Council,absent,40411,Edward,Balls,Lab,http://publicwhip.com/mp.php?mpid=40411
